source;target
BigAlphaID;PanjiMsd
BigAlphaID;candrarudy
BigAlphaID;rnldynvl
cnbcindonesia;htrzkndn
detikcom;mahameru_hijau
detikcom;babaSusetyo
detikcom;taengguv
BigAlphaID;dina_sour
detikcom;Muhikhsaaan
detikcom;arief_dh19
detikfinance;festiistar
Pr1y4_Utomo;RayMuha68843402
My_LoveNebe;JannesHutajulu
BigAlphaID;devinatsyn
zoelfick;ElJibril4
BigAlphaID;janganboy
BigAlphaID;tuktucky
detikfinance;maskermaskeren
detikcom;arti_desain
BigAlphaID;FarhanAmadan
kumparan;sendyalfa24
BigAlphaID;balqissandra_
detikcom;husnan_ghazi
detikcom;VolsonH
BigAlphaID;ayyemccann
detikcom;buluket05562148
BigAlphaID;iqbalnurfauziii
BigAlphaID;rizkyts
BigAlphaID;lahirsore
BigAlphaID;webareb3ars
BigAlphaID;pinkankirana
BigAlphaID;Mr_Outliers
BigAlphaID;FaizZulkifli7
BigAlphaID;chorifai
BigAlphaID;novelible
Predator___id;devi_d2
detikcom;aldrprtm
runturambi_w;Faylasalle2
CNNIndonesia;Ludita_Cossa
BigAlphaID;gudegnangka
cnbcindonesia;bangkitriambada
BigAlphaID;TarwiyahBilqis
detikfinance;0718mia_
BigAlphaID;windyiputrii
cnbcindonesia;dabenone2
detikcom;DeanWahyu80
BigAlphaID;ateqahmad
runturambi_w;Anak_Garundang7
BigAlphaID;hendypratm
detikcom;natalia_say
BigAlphaID;MrRendy
detikcom;gutuz
detikfinance;panitiakonser
detikcom;robbieesetiawan
BigAlphaID;YogaMhndar
BigAlphaID;WidodoSRagiel
detikcom;billy_sipriano
detikcom;carissatiani
BigAlphaID;emyu_fans
detikcom;Mexisyafridha1
BigAlphaID;adityosusanto_
BigAlphaID;elavbrini
BigAlphaID;how2lvmyself1st
detikcom;ardi_ann
cnbcindonesia;Suldarmawan
CNNIndonesia;DamarhudaIdelle
BigAlphaID;adetobing08
detikfinance;SiAhmadi
kumparan;cupaawws
BigAlphaID;erlindaputrii
BigAlphaID;maulanafirky
BigAlphaID;aardilles
BigAlphaID;prhayu_
BigAlphaID;dpgladiola
BigAlphaID;athawa
BigAlphaID;rejakdwiii
Shda_Agatha;johanezjo99
cnbcindonesia;bangkitriambada
BigAlphaID;RahmithaFA
BigAlphaID;Diolove5
detikcom;_MRBTH_
BigAlphaID;yuanindalaks
kompascom;chrischandrast
runturambi_w;arbaiasa
BigAlphaID;rinafavziah
BigAlphaID;zhabaddy
kompascom;YanniPramono
BigAlphaID;lulukhodijah
BigAlphaID;mediocried
BigAlphaID;__dickyardiansy
BigAlphaID;rizkimahardi4
runturambi_w;4nw4r2020
_Wiwis_Mbecak;Sulisti14281557
cnbcindonesia;stevin_T
BigAlphaID;FebriPratama
BigAlphaID;yosilvermist
detikfinance;SuryaMantul
detikcom;nuellslleep
BigAlphaID;prstyoo_
BigAlphaID;wik_dd
BigAlphaID;AdyGilang_
detikcom;mizansullivan
BigAlphaID;in_hoping
BigAlphaID;leetyong__
BigAlphaID;ilmazidnaWTC
BigAlphaID;lukisaepul
detikfinance;maulydina
BigAlphaID;cicingdiimahnya
BigAlphaID;isdesserts
BigAlphaID;shivanlurita
detikfinance;detikcom
dany_mee03;LNyawn
BigAlphaID;waduhdaw
runturambi_w;mpah_ayank
detikcom;LNyawn
detikcom;RomoDonnyR
BigAlphaID;arksaputra
wartacakrawala;Elaaaaaz
kompascom;rosa_paung
BigAlphaID;PuputLadjamaa
detikfinance;kata_DIDIN
BigAlphaID;hartatahtapizza
BigAlphaID;irnabonbon
kompascom;ftmhzaharaa
BigAlphaID;sukmoasih_
detikfinance;jasuke01
BigAlphaID;vinnyfianicaa
adriansyahyasin;faizzakharia_
BigAlphaID;sabiell
zoelfick;Khoohharr
BigAlphaID;bintangisa
detikfinance;onyeongpa
detikcom;If_malaa0906
kompascom;_aarman
detikcom;Andy_Wijaya_90
BigAlphaID;afiadanii
BigAlphaID;tisubasah_
detikcom;yusuufbahtiar
BigAlphaID;adtkwsuper
detikcom;vick37890
BigAlphaID;fucek2020
BigAlphaID;aris_ps19
BigAlphaID;harsyaluthfi
BigAlphaID;hambachatime
BigAlphaID;iklumalas
kompascom;Syah_Almada
My_LoveNebe;Aripinipin123
detikcom;laurita_lia
BigAlphaID;Alexand39364677
